st;course1_3;course1_4;course2_2;statement1;statement2;gender;profile;living
343234;5,93450891955044;2,6;5,52885978738435;5;6;2;3;0
343235;6,95571483971693;7,4;6,76380084798255;4;5;1;1;0
343236;4,79004819297659;2,1;7,32712040410595;5;3;2;2;1
343237;8,80476946350332;10;1,52696104791486;3;7;2;1;0
343238;8,32124536502721;8,6;6,01823473410395;5;6;2;3;0
343239;7,63404785460014;5,3;5,3949454834334;3;7;2;1;1
343240;5,13783291822792;5,7;3,85733994700845;2;4;2;3;0
343241;3,00716936335337;1;6,86885646531994;1;2;2;2;0
343242;9,23528822737828;10;6,86604938894605;6;1;1;1;0
343243;4,05518478253727;6;7,46154480926017;2;1;1;1;0
343244;2,97166880658559;4,4;4,18497891711516;7;4;1;2;0
343245;6,52217337382941;4,5;5,9299833027444;5;3;1;2;0
343246;7,72366872964975;8,5;4,63405301627026;6;4;2;1;1
343247;5,17450190305634;6;6,07381673312288;2;1;2;1;0
343248;0;1;7,04921089896557;4;6;2;1;1
343249;2,78596588767716;1;4,54792842960487;7;1;2;1;1
343250;4,16078732651501;5,1;9,18609136621486;6;1;1;1;1
343251;3,38753291346081;1;7,69311900540115;7;4;2;2;0
343252;7,35687076262283;10;6,62795984458786;2;7;1;2;1
343253;6,89450583162994;2,2;9,9;6;3;1;2;0
343254;3,41926765906516;5,4;4,84000323670795;7;7;2;2;0
343255;3,49637057655824;2,2;6,17535680347526;5;1;2;1;1
343256;3,60440847096924;2,2;4,65892097150328;12;4;2;1;0
343257;4,16469493779247;7,7;4,49382820691012;4;2;2;1;0
343258;4,25392283509609;2,8;3,20888744991515;2;7;1;3;1
343259;,621333120883736;1,2;6,15115317435463;3;2;2;1;1
343260;4,06803710424121;3,5;2,02326998268575;7;6;1;2;0
343261;0;1,7;2,2714127340735;1;2;2;2;0
343262;4,82486560851864;7,6;2,02274498118172;1;4;2;2;0
343263;6,3899431196604;8,7;3,45245791257984;99;2;2;2;1
343264;3,59575957568182;2;3,24209104221033;6;5;2;1;0
343265;5,05183371855392;4,4;7,18492415239947;4;7;2;2;0
343266;2,01571098881117;1,6;1,85784528490529;7;6;2;2;0
343267;5,15880705317224;5,9;5,16931473631813;23;6;2;1;0
