Gender,FirstLanguage,Groiu,Category,Letters,Animals,Shapes,Words,Colour
1,1,1,1,16,58,48,12,16
1,2,1,1,15,38, ,3,12
1,1,1,1,20,44,18,11,19
1,1,1,1,19,70,38,13,19
0,1,1,1,13,60,46,6,16
1,1,1,1,14,54,44,4,15
0,1,1,1,14,62,44,8,12
1,2,1,1,6,36,32,16,5
0,1,1,1, ,80,50,3,7
1,2,1,1,13,48,36,11,12
0,1,1,1,15,60,44,19,15
1,1,1,1,17,48,38,16,19
1,2,1,1,14,54,50,11,14
1,2,1,1,11,38, ,1,14
0,1,1,1,16,70,40,5,16
1,1,1,1,15,38, ,12,18
1,2,1,1,12,60,36,17,13
0,1,1,1,10,62,48,3,10
1,2,1,1,18,56,36,6,19
1,1,1,1,20,42,20,2,19
1,1,1,1,8,46,22,19,6
0,2,1,1,17,44,10,9,16
1,1,1,1,18,44,46,1,15
0,2,1,1,12,72,56,7,15
0,1,1,1,4,80, ,12,7
1,1,1,1,13,38,34, ,11
1,1,1,1,10,60,50,3,11
 ,2,1,1,8,80,6,6,6
1,2,1,1,19,40,38,8,19
0,1,1,1,10,42, ,14,9
0,2,1,1,7,52,42,11,5
0,1,1,1,6,68,74,12,4
1,1,1,1,12,40,32,19,12
0,1,1,1,16,52,44,17,15
0,1,1,1,8,44,30,17,10
0,2,1,1,8,44,36,9,9
0,1,1,1,17,52,28,8,19
0,2,1,1,12,58,52,10,10
1,2,1,1,20,42,16,5,19
0,2,1,1,7,80,48,6,8
0,2,1,1,8,54,52,15,6
0,1,1,1, ,64,36,4,19
1,1,1,1,8,36,18,10,5
1,1,1,1,17,38,52,4,15
1,1,1,1,13,38,28,7,11
0,2,1,1,15,46,44,18,12
0,1,1,1,11,54,30,20,9
1,1,1,1,13,50,30,18,15
1,1,1,1,20,54,44,1,19
1,1,1,1,12,58,38,12,14
1,2,1,1,10,42,42,19,13
0,1,1,1,11,42,28,1, 
0,1,1,1,13,74, ,17,11
0,2,1,1,8,36,18,17,5
0,2,1,1,8,50,40,13,10
0,1,1,1,7,38,34,16,6
1,1,1,1,6,58,40,10,4
0,1,1,1,13,38,36,4,14
1,1,1,1,11,38,16,2,10
 ,1,1,1,19,80,48,15,18
0,2,1,1,10,54,38,7,8
0,2,1,1,19,80,68,10,19
0,1,1,1,10,54,38,5,7
1,1,1,1,14,48,30,20,13
1,1,1,1,19,46,22,7,16
0,2,1,1,11,54,30,4,9
1,1,1,1,15,38, ,3,17
0,1,1,1,11,66,32,12,13
1,2,1,2,10,46,44,9,8
0,1,1,2,7,38,26,12,6
0,1,1,2,6,56,46,6,8
0,1,1,2,6,60,26,3,4
0,1,1,2,7,40,28,12,7
0,1,1,2,19,48,68,3,19
1,1,1,2,17,42,46,7,15
0,2,1,2,6,42,12,19,4
0,2,1,2,14,54,36,16,12
1,1,1,2,20,66,42,3,19
1,1,1,2,8,80, ,5,8
1,1,1,2,16,70,44,17,16
0,1,1,2,8,50,44,16,6
1,1,1,2,5,36,34,15,6
1,1,1,2,11,44,38,3,14
1,1,1,2,9,38,36,17,6
1,1,1,2,15,44,40,11,16
1,2,1,2,20,40,22,1,19
0,2,1,2,11,68,50,19,12
1,1,1,2,11,62,28,15,11
1,2,1,2,14,42,32,8,16
1,1,1,2,10,40,12,11,11
1,1,1,2,15,48,44,8,16
0,1,1,2,12,42,32,18,11
0,2,1,2,11,38, ,11,11
0,2,1,2,12,66,42,9,11
1,1,1,2,19,80, ,11,19
0,1,1,2,12,78,44,3,14
0,2,1,2,11,38, ,14,12
0,1,1,2,6,56,30,1,6
1,1,1,2,18,66,46, ,15
1,2,1,2,12,58,30,17,9
0,2,1,2,18,50,44,3,16
0,1,1,2,14,42,38,16,13
0,2,1,2,12,48,10,1,12
0,1,1,2,20,66,54,16,19
0,2,2,2,6,54,20,10,8
1,2,2,2,16,42,44,8,15
0,1,2,2,18,44,16,13,19
1,1,2,2,20,44,14,17,19
1,1,2,2,20,18,20,4,17
1,2,2,2,9,32,14,6,10
0,1,2,2,7,20,24,5,5
1,1,2,2,19,44,30,16,19
1,1,2,2,12,52,48,11,10
1,2,2,2,8,52,32,12,7
1,2,2,2,9,32,14,18,9
0,1,2,2,12,58,38,6,11
0,1,2,2,2,44,4,13,4
0,1,2,2,8,66,50,9,10
0,1,2,2,6,76,42,2,8
