Gender,Language,Group,Category,YearsOfEducation,YearsOfWorking,upportFromBoss,SupportFromParter,SupprtFromChild
0,1,1,1,6,12,32,92,112
0,1,1,1,6,4,32,84,152
1,1,1,1,13,14,44,56,76
1,1,1,1,13, ,44,68,76
1,1,1,1,17,8,60,104,76
1,1,1,1,20,4,76,40,84
1,2,1,1,10,18,32,88,92
1,1,1,1,17,32,76,76,96
1,1,1,1,13,36,60,60,100
1,2,1,1,14,22,56,100,108
0,1,1,1,6,6,16,52,120
0,2,1,1,12,2,48,20,96
0,2,1,1,11,22,44, ,76
0,2,1,1,11,28,48, ,76
1,2,1,1,11,2,56, ,76
0,1,1,1,6,24,16,148,136
0,1,1,1,5,34,28,48,64
1,1,1,1,15,22,64,80,88
1,1,1,1,6,20,16,80,116
1,1,1,1,8,20,20,36,72
0,2,1,1,6,38,16,24,84
0,1,1,1,11,40,36,60,108
0,1,1,1,6,2,24,60,112
0,1,1,1,13,34,44, ,148
0,1,1,1,8,20,40,80,160
1,1,1,1,5,30,24,68,72
0,2,1,1,11,8,36,60,108
0,2,1,1,8,18,36,72,88
0,2,1,1,12,14,60,112,144
1,2,1,1,19,22,76,112,88
1,2,1,1,12,34,36,60,116
0,1,1,1,7,24,24,52,76
0,1,1,1,7,24,28,56,80
0,1,1,1,10,28,36, ,84
0,1,1,1,18,26,76,32,88
0,1,1,1,8,32,24,88,100
0,2,1,1,8,26,40,80,100
0,2,1,1,14,32,48,72,108
0,2,1,1,7,36,28,64,124
0,2,1,1,12, ,40,104,160
1,1,1,1,12,24,56,76,116
0,1,1,1,7,32,24,68,76
0,1,1,1,11,24,52,64,132
1,1,1,1,12, ,52,48,60
 ,1,1,1,19,30,72,96,160
0,2,1,1,10,38,44, ,56
0,2,1,1,8,30,24,104,108
1,1,1,1,16,24,72,20,52
1,1,1,1,8,38,24,44,92
 ,2,1,1,8,12,24,12,160
0,2,1,1,7,4,36,56,64
0,2,1,1,8,34,20,36,72
0,2,1,1,7,22,20,84,104
0,2,1,1,12,20,40,104,116
0,2,1,1,14,18,48,44,124
0,1,1,1, ,8,76,72,128
0,1,1,1,7,38,24,56,64
0,1,1,1,7,24,24,56,64
1,2,1,1,10,38,52,84,84
1,2,1,1,13,22,48,72,96
1,1,1,1,10,6,44,100,120
1,1,1,1,11,30,44,56,124
0,1,1,1,7,10,20,48,40
0,1,1,1,12,36,44,64,84
0,1,1,1,10,10,28,76,108
0,2,1,1,13,4,40,100,124
1,2,1,1,6,32,20,64,72
1,1,1,1,9,34,24,72,76
1,2,1,1,19,16,76,76,80
1,1,1,1,12,38,48,64,80
1,2,1,1,14,16,64,64,84
1,2,1,1,18,12,76,72,112
1,2,1,2,12,34,52,72,120
1,1,1,2,19,26,76,76,140
0,2,1,2,10,14,32,76,108
0,1,1,2,14,32,52,76,84
0,2,1,2,15,36,48,88,92
0,1,1,2,19,6,76,136,96
0,1,1,2,16,34,60,88,104
0,1,1,2,10,6,40,96,124
1,2,1,2,20,10,76,32,84
1,1,1,2,18,2,60,92,88
1,1,1,2,16,24,64,96,116
1,1,1,2,16,34,64,88,140
0,2,1,2,17,18,64,20,88
0,1,1,2,15,38,60,88,120
0,1,1,2,16,24,60,116,148
1,1,1,2,2,8,76,72,68
1,1,1,2,11,4,40,32,76
1,1,1,2,10,22,44,24,80
1,1,1,2,20,22,76,36,88
1,1,1,2,19,14,64,44,92
1,1,1,2,14,40,52,60,96
0,1,1,2,13,8,56,72,76
0,1,1,2,8,34,40,60,88
0,1,1,2,17,16,76,56,104
0,1,1,2,13,12,64,92,120
0,1,1,2,11,6,40,84,148
1,1,1,2,15,6,68, ,76
1,1,1,2,20,34,76,28,88
1,1,1,2,19,32,76,60,88
1,1,1,2,18,40,76,80, 
1,1,1,2,14,8,60,88,108
1,1,1,2,18, ,60,92,132
1,2,1,2,15,34,56,88,160
1,1,1,2,15,24,72, ,76
1,2,1,2,15,6,48, ,76
0,1,1,2,14,16,48,88,124
1,2,1,2,17,12,60,28,68
0,2,1,2,18,6,64,88,100
0,1,1,2,15,18,52,104,120
0,2,1,2,12,18,44,84,132
0,1,1,2,20,32,76,108,132
0,2,1,2,11,38,48,100,136
0,2,1,2,19,20,76,136,160
1,2,1,2,20,2,76,44,80
1,1,1,2,17,14,60,92,84
1,1,1,2,11,6,56,76,88
1,1,1,2,20,6,76,84,132
1,1,1,2,19,22,76, ,160
0,1,1,2,11,2,36,56,84
0,1,1,2,16,10,64,80,140
1,1,1,2,20,8,68,40,36
1,1,1,2,15,16,64,88,96
1,1,1,2,20,2,76,88,108
0,1,1,2,18,36,76,80,140
0,1,1,2,20,34,76,120,132
1,1,1,2,20,18,68,72,88
1,1,1,2,20,40,76,108,136
0,1,1,2,18,36,76,80,140
0,1,1,2,19,34,76,110,132
1,1,1,2,20,20,68,72,94
1,1,1,2,20,36,76,108,136
0,1,2,2,16,26,64,152,160
1,1,2,3,9,38,40,64,76
1,2,2,3,14,16,64,80,92
0,1,2,3,3,38,16, ,80
0,1,2,3,2,26,16,8,88
0,1,2,3,3,32,16,28,108
0,2,2,3,3,32,8,84,160
0,1,2,3,4,26,20,76,160
