Gender,Language,Group,Category,ReadingComprehension,TechnicalReading,Spelling,Grammar,Vocabulary
1,1,1,1,17,15,38,52,4
1,1,1,1,16,16,58,48,12
1,1,1,1,19,19,70,38,13
1,1,1,1,14,13,48,30,20
1,2,1,1,15,12,38, ,3
1,1,1,1,10,11,60,50,3
1,2,1,1,6,5,36,32,16
1,1,1,1,6,4,58,40,10
1,1,1,1,12,14,58,38,12
1,1,1,1,17,19,48,38,16
0,2,1,1,10,8,54,38,7
1,2,1,1,17,15,34,14,6
0,1,1,1,7,6,38,34,16
0,2,1,1,8,10,50,40,13
1,2,1,1,10,8,46,44,9
0,2,1,1,11,12,68,50,19
0,2,1,1,18,16,50,44,3
1,2,1,1,14,16,42,32,8
0,2,1,1,6,8,54,20,10
0,1,1,1,7,7,40,28,12
0,1,1,1,11,9,54,30,20
0,1,1,1,15,15,60,44,19
1,2,1,1,12,9,58,30,17
1,1,1,1,18,15,44,46,1
1,1,1,1,20,19,66,42,3
0,2,1,1,8,9,44,36,9
0,1,1,1,6,6,56,30,1
0,1,1,1,20,19,66,54,16
1,2,1,1,19,19,40,38,8
1,1,1,1,18,19,26,22,8
0,2,1,1,12,11,66,42,9
0,1,1,1,14,12,62,44,8
1,1,1,1,17,15,42,46,7
0,1,1,1,13,14,38,36,4
1,2,1,1,12,13,60,36,17
0,1,1,1, ,19,64,36,4
1,2,1,1,18,19,56,36,6
0,2,1,1,12,10,58,52,10
0,1,1,1,12,11,42,32,18
0,1,1,1,13,16,60,46,6
1,1,1,1,12,12,40,32,19
0,1,1,1,18,19,44,16,13
1,2,1,1,14,14,54,50,11
1,1,1,1,15,18,38, ,12
1,1,1,1,5,6,36,34,15
0,2,1,1,11,9,54,30,4
0,1,1,1,16,16,70,40,5
0,1,1,1,10,9,42, ,14
1,2,1,1,20,19,40,22,1
1,1,1,1,13,15,50,30,18
1,1,1,1,15,17,38, ,3
0,1,1,1,8,10,44,30,17
1,1,1,1,20,19,54,44,1
0,1,1,1,6,8,56,46,6
0,1,1,1,4,7,80, ,12
1,1,1,1,19,16,46,22,7
0,1,1,1,13,11,74, ,17
0,2,1,1,11,12,38, ,14
1,2,1,1,13,12,48,36,11
1,1,1,1,8,6,46,22,19
1,2,1,1,11,14,38, ,1
0,1,1,1,16,15,52,44,17
0,2,1,1,7,5,52,42,11
1,1,1,1,13,11,38,28,7
1,1,1,1,16,16,70,44,17
0,1,1,1,17,19,52,28,8
0,1,1,1,6,4,68,74,12
1,1,1,1,11,10,38,16,2
0,1,1,2,19,19,48,68,3
0,2,1,2,11,11,38, ,11
1,1,1,2,15,16,48,44,8
0,1,1,2,6,4,60,26,3
1,1,1,2,18,15,66,46, 
0,1,1,2,14,13,42,38,16
0,1,1,2,10,7,54,38,5
0,2,1,2,14,12,54,36,16
1,1,1,2,15,16,44,40,11
1,1,1,2,14,15,54,44,4
0,1,1,2,12,14,78,44,3
