gender,lang,group,reading1,reading2,spelling,grammar,vocab,V1,V2,V3,V4
0,1,1,6,8,56,46,6,3,1,1,4
0,1,1,6,8,76,42,2,1,1,1,4
0,1,2,16,16,80,76,13,1,1,1,4
1,1,1,13,11,38,28,7,1,1,1,4
1,1,1,13,11,38,34, ,1,1,1,4
1,1,1,17,15,38,52,4,1,1,1,4
1,1,2,9,10,38,32,19,1,1,1,4
1,1,1,20,19,42,20,2,1,1,1,4
1,2,2,14,16,46,40,8,1,1,1,4
1,2,1,10,8,46,44,9,9,9,9,9
1,1,1,17,19,48,38,16,9,9,9,9
1,1,1,13,15,50,30,18,1,1,1,4
1,2,1,14,14,54,50,11,2,1,2,4
0,1,2,3,4,40, ,19,1,1,2,4
0,1,2,2,4,44,4,13,1,1,2,4
0,1,2,3,4,54,14,16,1,1,2,4
0,1,1,6,4,60,26,3,3,1,2,3
0,2,2,3,2,80,42,16,3,1,1,4
0,1,2,4,5,80,38,13,1,1,1,4
0,2,2,3,4,80,28,14,1,1,1,4
0,1,2,4,7,80, ,12,1,1,1,4
0,1,2,3,5,54,14,11,2,1,1,4
0,2,1,12,12,48,10,1,1,1,1,4
0,1,2, ,19,60,10,13,1,1,1,4
0,2,1,11,11,38, ,11,1,1,1,4
0,2,1,11,12,38, ,14,1,1,1,4
1,1,2,3,3,18,36,13,2,1,1,4
1,2,2,3,4,18,32,13,3,1,2,4
1,2,1,11,14,38, ,1,9,9,9,9
0,1,2,7,5,60,36,18,1,1,1,4
0,1,2,9,10,64,46,8,1,1,1,4
0,1,1,6,4,68,74,12,1,1,1,4
1,2,2,2,3,26,26,2,1,1,1,4
1,2,2,4,3,46,22,14,4,1,2,4
1,1,2,4,3,50,40,18,1,1,1,4
0,1,2,3,2,18,26,17,1,1,1,4
0,1,1,5,7,32,24,17,1,1,1,4
1,1,2,4,1,40,32,5,2,1,1,4
1,1,1,15,16,44,40,11,9,9,9,9
1,1,1,6,4,58,40,10,3,1,2,3
0,1,2,4,2,76,4,13,1,1,2,4
1,2,2,4,5,30,14,18,1,1,1,4
1,1,1,8,5,36,18,10,9,1,1,4
1,2,2,5,6,46,18, ,1,1,1,4
0,1,2,5,4,24,12,13,2,2,1,4
0,2,2,10,9,42,28,3,2,1,1,4
0,2,1,6,4,42,12,19,1,1,1,4
0,1,1,11,9,54,30,20,4,3,3,4
0,1,1,6,6,56,30,1,4,4,4,3
0,1,2,10,12,64,44,16,1,1,1,4
0,1,1,13,11,74, ,17,2,1,2,4
0,1,1,8,10,80,40,10,3,2,2,3
1,1,2,11,13,34,26,6,2,1,2,4
1,1,1,5,6,36,34,15,1,1,1,4
1,1,2,4,4,50,22,18,1,1,2,4
0,2,1,11,9,54,30,4,9,9,9,9
0,2,2,3,5,38,36,16,1,1,1,4
0,2,1,8,9,44,36,9,1,3,1,4
0,2,2,10,10,46,40,5,2,1,1,4
0,2,1,12,15,72,56,7,1,1,1,4
1,2,1,19,19,44,56,11,1,1,1,4
1,2,1,12,9,58,30,17,1,1,1,4
0,2,2,1,1,34,6,19,4,3,3,4
0,1,1,7,6,38,26,12,3,1,1,4
0,1,1,7,7,40,28,12,1,1,1,4
0,1,1,10,9,42, ,14,1,1,3,4
0,1,1,18,19,44,16,13,1,1,1,4
0,1,1,8,6,50,44,16,2,1,1,4
0,2,1,8,10,50,40,13,1,1,1,4
0,2,1,14,12,54,36,16,1,1,1,4
0,2,2,6,8,54,20,10,1,1,1,4
0,2,1,7,7,62,32,18,3,2,2,3
0,2,1,12,10,80,52, ,1,1,1,4
0,1,2,1,2,34,6,5,1,2,1,4
0,1,2,1,2,34,6,13,3,2,2,3
1,2,2,14,16,36,40,7,3,1,3,4
1,2,2,6,5,48,34,19,1,1,1,4
1,1,1,12,14,58,38,12,9,1,1,4
0,1,1,7,6,38,34,16,1,1,1,3
0,1,2,17,19,46,48,19,1,1,1,4
0,1,1,11,13,66,32,12,1,1,1,4
1,1,1,12,13,30,24, ,1,1,2,4
1,2,2,9,7,32,14,15,2,1,1,4
1,2,2,5,4,40,30,5,2,2,2,1
1,2,2,9,10,32,14,6,1,1,2,4
1,2,2,9,9,32,14,18,2,1,2,4
 ,1,1,19,18,80,48,15,2,2,3,4
0,2,1,10,11,28, ,19,2,1,1,4
0,1,2,8,10,52,30,12,4,1,3,2
0,2,1,8,6,54,52,15,2,1,2,4
1,1,1,16,18,26,10,12,3,1,4,4
1,2,2,7,9,40,38,10,1,1,1,4
1,1,2,12,11,40,36,1,2,1,1,4
1,2,2,14,15,44,26,12,1,1,1,4
1,1,1,8,6,46,22,19,2,1,1,4
1,2,2,9,10,46,24,5,1,1,1,4
1,1,2,12,10,52,48,11,1,1,1,4
 ,2,1,8,6,80,6,6,1,1,1,4
 ,1,2,15,14,38,22,5,3,9,2,1
 ,2,2,15,17,38,22,8,9,9,9,9
0,2,2,6,9,32,38,14,2,1,1,2
0,2,1,7,9,32,28,2,3,1,1,4
0,2,1,8,5,36,18,17,1,1,1,4
0,2,1,7,5,52,42,11,1,1,1,4
0,2,1,12,10,58,52,10,1,1,1,4
0,2,1,14,12,62,22,9,1,1,1,4
0,1,1, ,19,64,36,4,1,1,1,4
0,1,2,17,19,80,40,10,1,1,1,4
0,1,1,7,6,32,28,19,1,1,1,4
0,1,1,7,6,32,28,12,1,1,1,4
1,1,2,15,17,38,22,13,9,9,9,9
1,2,1,10,13,42,42,19,9,9,9,9
1,2,2,17,17,44, ,19,1,1,1,4
1,2,1,13,12,48,36,11,2,1,2,4
1,2,2,16,18,52,40,19,1,1,2,4
