Group,Gender,Language1,Language2,Language3,Spelling,Grammar
1,1,3,3,2,18,36
1,1,2,3,2,18,32
2,0,1,3,4,18,26
1,1,12,20,18,18,20
3,0,3,7,12,20,24
1,0,3,5,6,24,12
2,1,7,18,15,26,22
2,1,4,2,3,26,26
1,1,13,16,10,26,10
1,0,1,10,10,28,8
3,1,2,4,5,30,14
1,1,10,12,9,30,24
1,0,7,5,4,32,24
3,0,3,6,11,32,38
1,0,5,7,11,32,28
2,1,10,9,9,32,14
3,0,1,1,8,34,6
1,1,15,17,16,34,14
2,1,4,11,6,34,26
3,1,5,2,14,34,36
3,0,5,8,11,36,18
2,1,6,13,12,36,36
3,1,4,8,5,36,18
3,1,5,6,12,36,32
3,1,7,5,6,36,34
2,1,5,14,8,36,40
1,0,13,13,15,38,36
1,0,2,7,9,38,34
1,0,0,3,7,38,36
3,0,10,7,8,38,26
1,1,12,11,14,38,16
1,1,2,11,2,38,0
2,1,15,15,11,38,22
3,1,16,15,15,38, 
3,1,9,13, ,38,28
1,1,10,13, ,38,34
3,1,8,9,12,38,36
3,1,16,17, ,38,52
2,1,12,9, ,38,32
1,0,5,7,8,40,28
2,0,1,3,0,40,0
3,1,6,4,4,40,32
1,1,15,20,17,40,22
2,1,1,5,9,40,30
1,1,3,10,14,40,12
1,1,16,19,12,40,38
3,1,11,7,10,40,38
2,1,13,12,10,40,36
3,1,6,12,12,40,32
3,0,9,12,12,42,32
1,0,1,10,8,42,0
3,0,18,14,13,42,38
2,0,2,10,6,42,28
3,0,2,6,6,42,12
3,0,14,11,18,42,28
1,1,10,14,12,42,32
1,1,8,20, ,42,20
2,1,14,16,12,42,44
3,1,10,20,13,42,16
3,1,7,10,11,42,42
3,1,16,17,17,42,46
2,0,7,12,16,44,42
1,0,3,18,8,44,16
1,0,8,8,15,44,30
3,0,3,8,7,44,36
2,0,1,2,0,44,4
3,0,10,17,14,44,10
1,1,19,20,14,44,18
1,1,13,20,20,44,36
1,1,11,11,17,44,38
1,1,7,20,15,44,14
2,1,11,14,10,44,26
3,1,5,18,13,44,46
1,1,17,19,15,44,30
3,1,16,15,4,44,40
2,1,12,17,11,44,32
1,1,7,19,7,44,56
2,0,14,17,9,46,48
2,0,4,10,7,46,40
3,0,9,15,13,46,44
3,1,3,8,10,46,22
1,1,2,5,5,46,18
2,1,3,9,10,46,24
1,1,14,19,14,46,22
1,1,2,4,3,46,22
2,1,9,14, ,46,40
3,1,15,10, ,46,44
1,0,0,12,2,48,10
3,0,12,19,13,48,68
1,1,13,18,15,48,40
2,1,4,6,8,48,34
3,1,13,13,11,48,36
1,1,13,17, ,48,38
1,1,10,14,14,48,30
2,1,17,19,17,48,36
3,1,5,15,18,48,44
3,0,6,8,8,50,44
1,0,14,18,17,50,44
3,0,6,8,8,50,40
3,1,6,4,6,50,22
1,1,12,13, ,50,30
2,1,5,4,3,50,40
2,1,17,16,16,50,32
2,0,4,8,10,52,30
3,0,8,17,15,52,28
1,0,12,16,13,52,44
1,0,6,7,11,52,42
2,1,11,14,16,52,44
2,1,6,16,11,52,40
2,1,12,8,13,52,32
2,1,2,12,10,52,48
3,0,4,10,12,54,38
1,0,5,11,6,54,30
2,0,1,3,1,54,14
1,0,15,14,8,54,36
