pp,km_jan,km_oct,income_jan,pub_trans,car
1,399,359.1,385.3,22.1,3
2,375.9,317.1,347.8,19.5,1
3,179.7,194,344.6,24.5,1
4,254.6,258.2,327.9,23.3,1
5,312,281.8,333.2,33.6,1
6,302.9, ,384.3,25.1,1
7,221.4,227.8,172.8,15.4,1
8,311.2,306,325.7,21.7,1
9,226.2,291,339.3,20.2,1
10,283.9,266.8,276.2,19,1
11,357.2,379.2,404.9,30.2,1
12,279.3,230.5,225.8,25.5,1
13,322.9,301.1,308.9,29,1
14,256.1,302,446.4,30.9,1
15,349.7,240.2,287.3,21.5,1
16,282.2,348,373.2,23.7,1
17,286.3,311.4,413.8,25.7,1
18,206.2,164,357.8,19,1
19,223.2,207.7,267.3,16.6,1
20,361.1,339.1,416.8,27.7,1
21,257.3,291,339.3,25.3,1
22,291.7,342.8,375.6,21.4,1
23,399.7,386,477.9,26.9,3
24,234.6,236.7,299.1,15.4,1
25,289.9,314.3,316.4,18.1,1
26,219.4,197.4,327.3,18,1
27,225.4,210.2,246.9,25.9,1
28,237.1,225.4,351.8,22.5,1
29,348.6,370.9,381.6,24.2,1
30,382.1,325.8,367.1,30.7,1
31, ,227.2,321.7, ,1
32,327.4,335.8,417.2,31.8,1
33,258.1,317,400.8,15.1,1
34,337,368.8,519.8,25.8,1
35,370.5,364.5,384.7,20.5,1
36,310.2,268.1,338.2,17.6,1
37,268.6,268.8,247.9,22.7,1
38,386.3,300.3,363.9,26.8,3
39,313.6,258.3,384.8,25.3,1
40,276,246.7,343.9,25.7,1
41,362.8,373.1,424.9,30.1,1
42,318.7,247.3,269.4,21.4,1
43,278.1, ,348.1,22.4,1
44,305,303.5,392.1,17,1
45,357.8,308.4,359.2,25.2,1
46,333.5,333.9,389.4,20.1,1
47,210,238.4, ,11.8,1
48,241.8,290.4,316.2,20.7,1
49,359.2,295.8,271.4,22.4,1
50,332.9,328.8,399.7,26.7,1
51,271.1,272.8,347,27.3,1
52, ,343.7,395.5,21.5,1
53,297.1,345.6,391.9,27.6,1
54,228.8,289.3,354.1,23.3,1
55,310.5,283.5,359.6,17.4,1
56,286.5, ,382.8,30.1,1
57,387.2,311.9,423.2,27.6,3
58,322.5,303.8,382.4,20.2,1
59,290.6,326.1,352.1,20.1,1
60,339.1,288,243,20.9,1
61,255.1,194,264.3,22.2,1
62,255.8,256.9,331.2,14.7,1
63,335.5,267.7,292.4,14.4,1
64,333.9,315.5,368.7, ,1
65,321.6,391.9,422.5,22.1,1
66,168.3,190.4,285.2,16.3,1
67,332.7,332.3,302.2,18.6,1
68,355.2,321.5,370.4,28.7,1
69,271.1,286.8,314.9,23.1,2
70,338.3,290,364.8,28.6,2
71,281.7,307.3,387.3,25.1,2
72,286.8,270.3,272.8,24.4,2
73,316.6,366.1,393.7,20.6,2
74,339.9,279.7,249,21.7,2
75,249.3,189.7,357.8,23,2
76,234.8,255.1,329.7,22.1,2
77,330.4,326.7,441,23.9,2
78,318.5,320.3,423.8,28.3,2
79,275.8,242.3,279,20.7,2
80,215.2,268.7,268.7,12.7,2
81,346.5,343,454,29.9,2
82,233.1,241.8,286.9,13.7,2
83,264.2,275.3,434.3,27.4,2
84,259.9,257,364.4,26.7,2
85,315.1,288.8,261.3,19.8,2
86,309.9,353.6,406.5,29.9,2
87,311.3,344.1,360.2,18.3,2
88,312.9,286.6,404.9,26.7,2
89,359.5,364.1,424.9,36.4,2
90,208.2,235.8,254.3,26.1,2
91,349.8,365.3,403.3,30.1,2
92,309.7,305,336.8,21.6,2
93,372.1,322.7,424.3,25.7,2
94,281.3,250.5,382.6,27.7,2
95,293.8,241.9,258.3,16.9,2
96,265.8,308.5,336.4,21,2
97,278.9,246.8,304.3,18.6,2
98,337.2,332.2,409.5,27.9,2
99,270.2,243.6,365.9,28.6,2
100,328.6,360.2,389.3,27.8,2
101,350.4,383.2,495.3,28.1,2
102,285.9,266.9,283.8,15,2
103,382.3,350.8,423.5,28.6,2
104,245.9,237.5,252.5,13,2
105,293.1,269.1,343.7,31.7,2
106,318.5,314.4,303.7,25.3,2
107,359.9,332.4,334.2,24.7,2
108,358.4,346.8,419.1,24.4,2
109,326.5,330.8,308.1,24.9,2
110,304.6,317.8,276.6,27.3,2
111,370.9,378.1,348.8,22.7,2
112,254.1,236.2,272.3,21.3,2
113,273,241.1,284.2,18.6,2
114,315.1,301.4,215.8,11.6,2
115,193.7,247.7,357.8,24.5,2
116,319.1,310.7,426.1,22.1,2
117,211,300.6,325.9,22.5,2
118,249.7,272.6,325.5,25,2
119,234.2,297.3,317.1,20.8,2
120,370.1,331.1,338.4,24.4,2
121,299.4,234.3,319.5,22.8,2
122,340.7,379.7,372.8,19.6,2
123,306.6,256.1,320.9,25.4,2
124,262.3,276,417.8,25,2
125,304.9,306.6,382.3,17.6,2
126,382.9,351.6,421.5,16.8,2
127,407.4,340.1,414.1,20.6,3
128,349.1,306,360.4,24.2,2
129,336,305.4,390.6,23.2,2
130,371.3,326.7,407.4,28.5,2
131,261,220.3, ,19.3,2
132,284.3, , ,21.2,3
133,306.3,295.8,437.2,17.9,3
134,299.6,269.4,339.1,21.7,3
135,353,343,300.7,21.2,3
136,293.6,258.3,333.8,26,3
137,259.8,241.6,247.1,25.5,3
138,306.2,282.3,348.5,24.7,3
139,274.6,374.9,438.8,22.2,3
140,428.7,312.3,369.8,29.3,3
141,300.2,292.7,314.4,16.1,3
142,324.9,367.5,382.8,10.2,3
143,294.2,257.1,258,29.1,3
144,263.8,246.6,336.2,20.4,3
145,281.4,306.4,343,29.6,3
146,322.2,344,395.7,23.4,3
147,303.2,305.7,310.6,30.7,3
148,238.6,280.7,454.6,35.5,3
149,259.6,278.3,308.6,28.3,3
150,315,304.6,344.2,20.3,3
151,355.6,278.2,290.1,23.9,3
152,347.4,302.2,275.5,21,3
153,296.4,282.7,302.3,22.7,3
154,270,306.4,403.8,22.2,3
155,246,280.7,327.4,23.4,3
156,316.5,282.2,295.5,14.8,3
157,445.3,431.9,409.9,31.8,3
158,339.4,313.1,397,24.3,3
159,248.5,281.5,368.5,29.6,3
160,312.1,328.7,402.7,21.3,3
161,282.5,228,248.8,15.3,3
162,312,326.5,400.4,16.2,3
163,332,310.3,440.1,26.5,3
164,249.2,233.3,195,16.4,3
165,314.5,356.9,318.4,14,3
166,298.2,287.1,368.2,22.5,3
167,235.6,241.7,395.9,26.6,3
168,307.4,315.8,376.2,22.7,3
169,202.9,261.9,325.3,15,3
170,362,340.9,315.2,18.6,3
171,318.8,300.1,418.4,25,3
172,325.2,354.4,377.3,30.9,3
173,326.7,302.9,282.4,15.5,3
174,291.8,267.3,435.9, ,3
175,251,215.9,413.7,29.7,3
176,325.1,338.1,343.3,16.4,3
177,255.5,276.6,374.8,21.4,3
178,319.2,233.2,362.9,23.5,3
179,380,417.8,443.3,26,3
180,316.9,247.3,401.3,27.4,3
181,323.1,295.9,313.9,25.5,3
182,345.7,329.6,385.1,22,3
183,346.9,338.9,400,20.2,3
184,322.6,312.5,363.4,24.2,3
185,286.5,284.8,383.5,22.9,3
186,336.6,344.7,363.1,15.3,3
187,275.6,282.6,406.2,29.2,3
188,313.8,301.6,389.2,20,3
189,317.7,370.1,451.7,22.4,3
190,285.5,271.2,406.7,14.7,3
191,246.5,290.7,403.1,22.3,3
192,277.7,238.2,270.4,22.8,3
193,378.7,332.5,446,32.9,3
194,317.2,224.8,279.7,34.5,3
195,314.7,295.2,459.5,30,3
196,241.2,283,347.3,27.7,3
197,311.5,310.6,315,23.8,3
198, ,302.5,338.4,20.5,3
199,281.1,307.3,423,27.6,3
200,344.2,377.8,395,28.2,3
201,369.3,335.8,366.8,20.1,3
202,250.6,283.2,310.1,19.3,3
