st;course1_1;course1_2;course1_3;course1_4;course1_5;course1_6;course1_7;livingparent
244355;5,2;1,1;2,1;5,2;6,16038252129673;0;3,99559521892235;1
243285;2,8;,8;5,1;2,8;2,44071796871747;0;5,68145834013914;0
243388;8,5;0;3,2;8,5;7,06403490712218;0;3,92845031796424;1
243411;5,9;,5;7,5;5,9;5,75586910348094;0;8,79151433129729;1
243662;6,8;5,5;,2;6,8;6,74998664563291;0;0;0
243669;8,3;0;,6;8,3;9,14870202948768;0;0;1
243825;6,2;,5;8;6,2;6,44652845335323;0;9,16129908018156;1
243860;4,9;0;3,5;4,9;4,9905196983845;0;3,54667956734863;0
243881;3,6;,8;4,3;3,6;3,94953370950812;0;4,30317356027985;1
244010;8;2,3;5,8;8;7,96118715156346;0;5,07472832249332;0
244160;6,6;0;4,1;6,6;6,69436719564348;0;4,46739353559627;0
244259;6,9;1,6;8,7;6,9;7,03539023802055;0;10,0012260346362;0
244481;5,8;,1;6,9;5,8;6,01486433399021;0;7,77063594655998;1
244642;8,7;1,2;7;8,7;8,40910433822781;0;6,31186524529;0
244673;9,7;,1;4,3;9,7;9,92290277136128;0;4,03295721921143;1
244564;5,2;1,3;4,5;5,2;5,75975447631029;,0254272215214366;5,06177573752346;1
243417;5,1;,3;6,2;5,1;5,48645557253366;,0379634083127909;7,16419634312991;0
244675;6,9;0;2,9;6,9;6,38622609154866;,0793931395830817;3,62152220097033;0
243546;10;1,7;2,1;10;8,47383856253679;,186594241783993;1,43962573439848;1
244526;5,9;,9;5,6;5,9;5,16175498289723;,226666881493536;5,58784116455236;1
243293;6;,1;5,3;6;7,11419369180547;,23853682305944;6,06290950424915;1
244252;8;1;9,2;8;8,44616812765259;,247992197653028;9,3248634413702;0
244417;7,3;2;2,2;7,3;7,95596087871415;,249915220637323;2,38135232694687;1
243362;8,8;,5;7;8,8;7,21144880109025;,256396205002834;9,65203001189025;1
244633;8,7;,5;4,7;8,7;9,14731752699135;,267243069062206;5,64600329194906;1
244344;7,9;2,3;7,7;7,9;8,85086256006506;,326109796027735;7,9024313294287;1
243638;9,1;1,6;5,1;9,1;9,92290277136128;,390326070451952;5,90223962810156;1
243814;7,3;2,5;4,4;7,3;7,69389674334233;,44155388039405;5,39958030017075;1
244107;7,9;2,8;3,9;7,9;7,10406570274718;,485081010672102;5,85341495921804;0
243763;4,1;2,6;6,5;4,1;4,81141161921628;,496635436380274;5,60349437003417;1
244032;10;,3;5,9;10;9,71462422930168;,51025641410532;6,57850484697269;0
244697;7,6;2,3;9,3;7,6;7,91777570843441;,57571296208014;10,0012260346362;1
244178;6,5;1,3;2,6;6,5;6,3764149258953;,578581531052851;3,64593308289172;1
243690;7,3;1,6;8,2;7,3;8,73808288779159;,644388297161869;7,90848918585058;0
243856;7,9;1,8;6,8;7,9;7,47802001257744;,658530467824612;7,9620504974437;0
244469;6,7;2,2;3,6;6,7;7,11190089571721;,667544929091028;1,64008302302478;1
243577;6,1;,6;7,1;6,1;5,83766527262356;,724235766060862;8,76023677343577;1
244257;10;1,6;7;10;9,56926269886266;,806257473447628;8,88836630563083;1
244128;7,2;2,2;4,2;7,2;6,49639389414046;,820263912534793;6,03044652218062;0
244335;4,4;0;9,7;4,4;6,6497160221299;,822532035197394;10,0012260346362;0
244570;9,2;,8;1,9;9,2;8,4738849439529;,870508666016898;,595566229563024;1
243655;4,8;1,8;7,5;4,8;5,6143568728796;,894275739503016;6,29472230469864;0
244522;2,2;1,5;9;2,2;1,87203344737809;,90921859319646;8,49543196914565;1
244596;8,8;1,5;4,7;8,8;9,07706997283576;,951532654335482;5,79770087417839;1
244192;5,8;2,2;2,8;5,8;5,89527358551174;,951535418177257;3,49259466505473;0
243632;8,6;2,4;1,9;8,6;7,36032001156662;1,00674997777132;1,98493744297978;1
243294;7,1;1,5;5;7,1;7,11023322768758;1,06382772082111;2,79507130035613;1
243840;8,3;2,5;3,5;8,3;8,90873740782057;1,06537304684585;4,9208603312369;1
244353;8,7;2,5;7,9;8,7;8,90820888347374;1,10853694139458;9,20764079748362;0
244302;7,3;1,3;5,9;7,3;8,05684278997878;1,12732899391935;6,07564177841958;0
243297;4,7;2,7;1,5;4,7;4,8797166049768;1,15590662847205;,395503055946856;1
243609;2,5;2,2;2,9;2,5;4,25451261897133;1,17549184773905;3,58045489172974;0
244033;4,7;3,2;7,6;4,7;2,71172951740262;1,19653174621294;7,55604725851896;1
244391;6,4;3,9;5;6,4;6,70386293799825;1,23185916024084;5,6316718164976;1
243464;6,6;2,3;2,8;6,6;5,95593871328808;1,23478416505656;3,87655769493865;0
243707;5,5;2,3;1,6;5,5;6,03664629740427;1,23510981375745;1,08464216493325;1
243656;6,4;2,5;2,6;6,4;6,24382702268727;1,24587419777061;3,66559631100987;1
244528;7,4;1,8;5,9;7,4;7,51086487440578;1,25182235144391;7,46201556802307;1
243948;7,8;,8;5,9;7,8;6,71268867057654;1,25531093058491;5,22670959469203;0
244451;8,2;2,1;8,4;8,2;6,99874361887712;1,26509904973931;7,61577584614288;0
244262;9;1,1;7,4;9;7,40289487441781;1,32136234074051;8,36997860158321;0
243862;4,7;1,5;5,3;4,7;5,29660494281663;1,32342405670587;7,16830254476842;0
