"V1"
"Item: vufsw-assumptions-0331-nl ; Error: single choice items must have exactly one correct solution"
"Item: uu-Measures-of-Spread-800-nl ; Error: no exsolution specified"
"Item: uu-Percentile-800-nl ; Error: no exsolution specified"
"Item: uu-Standard-Deviation-800-nl ; Error: no exsolution specified"
"Item: uu-Standard-Deviation-801-nl ; Error: no exsolution specified"
"Item: uu-Standard-Deviation-803-nl ; Error: no exsolution specified"
"Item: uu-Standard-Deviation-805-nl ; Error: no exsolution specified"
"Item: uu-Summary-Statistics-800-nl ; Error: no exsolution specified"
"Item: vufgb-boxplot-002-nl ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-factor-103-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-factor-104-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-factor-105-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-factor-106-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-factor-107-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-inferential_statistics-101-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-inferential_statistics-102-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-inferential_statistics-103-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-inferential_statistics-104-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-inferential_statistics-105-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-inferential_statistics-203-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-inferential_statistics-204-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-inferential_statistics-205-en ; Error: no exsolution specified"
"Item: vufgb-oddsratio-009-nl ; Error: single choice items must have exactly one correct solution"
"Item: vufsw-mediation-0268-nl ; Error: single choice items must have exactly one correct solution"
"Item: vufsw-multiplelinearregression-0275-nl ; Error: single choice items must have exactly one correct solution"
RESOLVED by T.->"Item: eur-reliability-103-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-reliability-104-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-reliability-105-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-reliability-106-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-reliability-107-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-reliability-108-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-reliability-109-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-reliability-110-en ; Error: no exsolution specified"
RESOLVED by T->"Item: eur-reliability-113-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-reliability-116-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-reliability-118-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-reliability-119-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-reliability-120-en ; Error: no exsolution specified"
RESOLVED by T.->"Item: eur-reliability-215-en ; Error: no exsolution specified"
