"V1"
"Item: vufsw-assumptions-0331-nl ; Error: single choice items must have exactly one correct solution"
"Item: uu-Measures-of-Spread-800-nl ; Error: no exsolution specified"
"Item: uu-Percentile-800-nl ; Error: no exsolution specified"
"Item: uu-Standard-Deviation-800-nl ; Error: no exsolution specified"
"Item: uu-Standard-Deviation-801-nl ; Error: no exsolution specified"
"Item: uu-Standard-Deviation-803-nl ; Error: no exsolution specified"
"Item: uu-Standard-Deviation-805-nl ; Error: no exsolution specified"
"Item: uu-Summary-Statistics-800-nl ; Error: no exsolution specified"
"Item: vufgb-boxplot-002-nl ; Error: no exsolution specified"
"Item: vufgb-oddsratio-009-nl ; Error: single choice items must have exactly one correct solution"
"Item: vufsw-mediation-0268-nl ; Error: single choice items must have exactly one correct solution"
"Item: vufsw-multiplelinearregression-0275-nl ; Error: single choice items must have exactly one correct solution"
