id;geslacht;item1;item2;item3;item4;item5;item6;item7;item8;item9;item10;item11;item12
1;1;1;2;3;3;4;3;3;2;3;1;3;1
2;1;4;2;2;3;4;3;4;2;2;4;3;3
3;1;1;2;2;1;2;1;2;3;2;1;1;2
4;1;2;1;2;1;4;4;4;1;4;4;4;2
5;2;3;3;3;3;2;2;4;1;4;4;3;2
6;2;2;4;1;2;4;4;3;2;4;2;3;4
7;1;3;2;1;2; ; ; ;2;3;2;1;4
8;1;2;2;2;1;3;2;2;3;3;4;3;4
9;2; ;3;2;3;5;2;3;3;5;2;5;3
10;1;1;1;3;2;1;2;1;1;1;2;3;4
11;2;2;3;1;4;4;4;2;3;4;2;1;1
12;2; ;4;3;4;3;2;4;3;4;3;3;3
13;2;2;3;2;3;4;2;3;3;1;2;1;4
14;1;2;3;2;4;4;3;2;4;2;3;3;2
15;1;4;4;2;5;4;2;2;5;2;4;2;2
16;2;2;2;1;3;4;3;1;1;2;4;1;4
17;2;3;4;4;1;2;3;2;4;2;3;1;2
18;2;3;2;2;1;4;4;4;3;4;2;4;3
19;1;1;1;3;3;3;1;1;1;1;1;1;3
20;1;4;3;3;3;2;3;2;2;3;2;4;2
21;2;1;2;3;3;2;3;1;2;4;2;2;2
22;2;1;3;1;2;1;3;3;3;3;2;1;1
23;1;3;3;2;4;3;1;4;3;1;4;1;2
24;1;2;1;1;1;4;3;4;3;2;3;2;4
25;2;3;1;2;1;4;2;2;4;4;4;2;1
26;2;4;3;2;3;2;4;3;3;4;2;3;2
27;1;1;2;1;2;4;3;2;3;2;2;2;3
28;2;3;3;3;4;2;3;2;3;2;2;4;1
29;1;1;1;1;2;2;4;4;2;2;1;3;2
30;2;3;2;3;3;4;3;3;2;3;3;4;4
31;2;4;2;2;3;3;3;2;3;4;2;4;3
32;2;5;5;2;2;2;4;3;4;3;3;4;3
33;2;3;3;2;2;3;2;3;1;2;3;3;3
34;2;5;3;2;5;4;4;5;3;5;2;3;3
35;1;5;4;3;3;2;3;2;3;4;2;5;2
36;1;2;2;3;4;3;2;2;3;2;3;4;1
37;1;1;1;3;1;3;2;3;3;1;1;1;3
38;2;1;4;1;2;3;2;4;2;2;2;1;3
39;1;1;4;3;1;3;1;2;1;2;2;1;2
40;1;2;2;2;3;3;1;2;1;3;4;4;2
41;1;2;3;2;2;2;1;2;3;3;4;3;1
42;2;2;2;3;2;4;2;3;4;3;1;2;2
43;1;1;2;2;2;2;1;2;2;3;3;1;1
44;1;1;2;2;3;3;2;3;2;4;3;1;2
45;2;2;1;2;3;2;4;2;4;3;3;2;4
46;1;4;3;2;5;3;4;2;3;2;2;2;4
47;2;2;2;2;2;2;3;3;2;4;2;4;4
48;2;3;2;4;4;3;3;2;2;1;4;4;1
49;2;4;3;4;2;2;5;2;4;2;5;4;4
50;2;2;2;2;2;1;4;3;3;3;2;2;3
51;2;3;1;4;3;3;2;3;4;2;1;2;3
52;2;3;4;2;2;3;4;4;3;3;3;4;4
53;1;4;4;3;2;2;4;3;4;5;2;3;5
54;2;4;2;5;4;2;4;3;4;3;3;4;2
55;1; ;5;4;3;3;4;4;4;4;3;2;5
56;2; ;4;4;2;3;4;2;3;3;4;3;3
57;1;4;2;2;5;2;2;2;4;3;2;2;2
58;2;2;3;1;2;2;1;2;2;1;4;2;4
59;1;2;1;2;2;4;4;4;3;2;2;3;4
60;1;3;3;4;4;4;4;4;4;4;3;2;2
61;2;5;4;2;5;5;4;5;4;4;4;4;5
62;2;4;4;2;4;5;4;2;2;2;4;2;4
