"","folder","name","question","Item Type","Section","Type","Program","Language","Level","ID","SectionShort","date"
"1","Assumptions/eur-assumptions-101-en","eur-assumptions-101-en","*Testing effect* 
Research has shown that when people learn words from a foreign language they better remember those words if they first study the words and then test themselves trying to recollect the words, compared to just studying the words twice. A researcher from the institute of psychology wants to know whether this so-called testing effect can be proven to exist in the classroom. She divides a group of 60 students into three groups [condition]. The students in group 1 study a list of 30 French words and their Dutch translation twice (1 = restudy). The students in group 2 study the list of 30 French words and their Dutch translation once and then test themselves (2 = testing). The students in group 3 just study the list of 30 French words and their Dutch translation once without testing themselves (3 = study_once). A week after the study phase, the students took a test where they had to give the Dutch translation of the 30 French words that they studied earlier. The total number of correct translations is represented by the variable score [score]. Additionally, the researcher included for each student his/her French grade [French].
Open the data file.
Conduct an analysis to determine whether there is a difference between the three conditions [condition] in terms of total number of correct translations [score]. Test whether there is a violation of the homogeneity of variances assumption for this analysis. What is the F-value for this assumption test? (3 decimals)
**Download**: [SPSS file](eur-assumptions-101-en-data.sav), [CSV file](eur-assumptions-101-en-data.csv)
","num","Assumptions/Homogeneity of variance/Levene's test","Performing analysis","SPSS","English","Statistical Literacy","622fe","Assumptions/Levene's test","2026-01-27"
"2","Assumptions/eur-assumptions-101-nl","eur-assumptions-101-nl","*Testing effect* 
Uit onderzoek is gebleken dat wanneer mensen woordjes leren uit een vreemde taal zij deze woordjes op de lange termijn beter kunnen onthouden wanneer zij de woordjes eerst bestuderen en daarna zichzelf testen op de woordjes, dan wanneer zij de woordjes twee keer bestuderen. Een onderzoeker aan het instituut voor psychologie wil weten of dit zogenaamde testing effect zich ook in het klaslokaal openbaart. Ze deelt een groep van 60 4VWO leerlingen in in drie groepen [condition]. De leerlingen in groep 1 bestuderen 2 keer achter elkaar een lijst met 30 nieuwe Franse woordjes (1 = restudy), de leerlingen in groep 2 bestuderen dezelfde lijst 1 keer en testen zichzelf daarna (2 = testing). Hierbij moeten ze hun hand op de Nederlandse vertaling van de Franse woordjes leggen en zelf bedenken wat de betekenis is. Leerlingen in groep 3 bestuderen de lijst met Franse woordjes slechts 1 keer (3 = study_once). Een week na het bestuderen krijgen alle leerlingen een test waarbij zij de 30 Franse woordjes opnieuw te zien krijgen en de Nederlandse vertaling moeten geven. Het totaal aantal correcte vertalingen staat weergegeven in de variabele score [score]. De onderzoeker heeft verder nog voor iedere leerling het rapportcijfer voor Frans [French] verzameld.
Open het databestand.
Doe een analyse om te bepalen of er verschil is tussen de drie condities [condition] op het aantal correct Nederlandse vertalingen [score]. Toets of de assumptie van homogene varianties in de drie condities geschonden wordt. Hoe groot is de F-waarde die bij deze assumptietoets hoort? (3 decimalen)
**Download**: [SPSS file](eur-assumptions-101-nl-data.sav), [CSV file](eur-assumptions-101-nl-data.csv)
","num","Assumptions/Homogeneity of variance/Levene's test","Performing analysis","SPSS","Dutch","Statistical Literacy","c4b09","Assumptions/Levene's test","2026-01-12"
"3","Assumptions/eur-assumptions-102-en","eur-assumptions-102-en","*Testing effect* 
Research has shown that when people learn words from a foreign language they better remember those words if they first study the words and then test themselves trying to recollect the words, compared to just studying the words twice. A researcher from the institute of psychology wants to know whether this so-called testing effect can be proven to exist in the classroom. She divides a group of 60 students into three groups [condition]. The students in group 1 study a list of 30 French words and their Dutch translation twice (1 = restudy). The students in group 2 study the list of 30 French words and their Dutch translation once and then test themselves (2 = testing). The students in group 3 just study the list of 30 French words and their Dutch translation once without testing themselves (3 = study_once). A week after the study phase, the students took a test where they had to give the Dutch translation of the 30 French words that they studied earlier. The total number of correct translations is represented by the variable score [score]. Additionally, the researcher included for each student his/her French grade [French].
Open the data file.
Conduct an analysis to determine whether the regression lines for the relation between French grade [French] and test performance [score] differ for the three conditions [condition]. What is p-value corresponding to the F-test of the homogeneity of regression slopes assumption? (3 decimals)
**Download**: [SPSS file](eur-assumptions-102-en-data.sav), [CSV file](eur-assumptions-102-en-data.csv)
","num","Assumptions/Homogeneity of variance/Levene's test, Inferential Statistics/NHST/p-value","Performing analysis","SPSS","English","Statistical Literacy","89e29","Assumptions/Levene's test","2026-01-27"
"4","Assumptions/eur-assumptions-102-nl","eur-assumptions-102-nl","*Testing effect* 
Uit onderzoek is gebleken dat wanneer mensen woordjes leren uit een vreemde taal zij deze woordjes op de lange termijn beter kunnen onthouden wanneer zij de woordjes eerst bestuderen en daarna zichzelf testen op de woordjes, dan wanneer zij de woordjes twee keer bestuderen. Een onderzoeker aan het instituut voor psychologie wil weten of dit zogenaamde testing effect zich ook in het klaslokaal openbaart. Ze deelt een groep van 60 4VWO leerlingen in in drie groepen [condition]. De leerlingen in groep 1 bestuderen 2 keer achter elkaar een lijst met 30 nieuwe Franse woordjes (1 = restudy), de leerlingen in groep 2 bestuderen dezelfde lijst 1 keer en testen zichzelf daarna (2 = testing). Hierbij moeten ze hun hand op de Nederlandse vertaling van de Franse woordjes leggen en zelf bedenken wat de betekenis is. Leerlingen in groep 3 bestuderen de lijst met Franse woordjes slechts 1 keer (3 = study_once). Een week na het bestuderen krijgen alle leerlingen een test waarbij zij de 30 Franse woordjes opnieuw te zien krijgen en de Nederlandse vertaling moeten geven. Het totaal aantal correcte vertalingen staat weergegeven in de variabele score [score]. De onderzoeker heeft verder nog voor iedere leerling het rapportcijfer voor Frans [French] verzameld.
Open het databestand.
Voer een analyse uit om te bepalen of de regressielijnen die de relatie tussen rapportcijfer frans [French] en prestatie op de test [score] weergeven verschillen voor de drie condities [condition]. Wat is de p-waarde behorend bij de F-toets die de homogeniteit van regressie assumptie toetst? (3 decimalen)
**Download**: [SPSS file](eur-assumptions-102-nl-data.sav), [CSV file](eur-assumptions-102-nl-data.csv)
","num","Assumptions/Homogeneity of variance/Levene's test, Inferential Statistics/NHST/p-value","Performing analysis","SPSS","Dutch","Statistical Literacy","ae7ef","Assumptions/Levene's test","2026-01-12"
"5","Assumptions/eur-assumptions-103-en","eur-assumptions-103-en","*Long-term detention*
Currently, in the Netherlands, there is debate about the usefulness of long-term detention with psychiatric treatment. A psychiatrist of a Dutch long-term detention centre collected data about aggression of detainees. The detainees were observed during group treatment sessions and the level of aggressive behavior was rated at four points in time: (1) 2 days after their admission to the centre [T1_aggression] ; (2) half a year after admission [T2_aggression]; (3) a year after admission [T3_aggression]; and (4) a year and a half after admission [T4_aggression]. The level of aggressive behavior was rated by means of a semi-structured interview, resulting in scores ranging from 0 (not aggressive) to 40 (extremely aggressive). Furthermore, the psychiatrist registered whether detainees suffered from psychosis or not [psychosis].
Open the data file.
Perform the relevant ANOVA to test for differences on the four aggression measurements and make sure to test the sphericity assumption. What is the value of Greenhouse-Geisser Epsilon for this model? (3 decimals)
**Download**: [SPSS file](eur-assumptions-103-en-data.sav), [CSV file](eur-assumptions-103-en-data.csv)
","num","Assumptions/Sphericity/Epsilon, Inferential Statistics/Parametric Techniques/ANOVA/Oneway repeated measures ANOVA","Performing analysis","SPSS","English","Statistical Literacy","0140d","Assumptions/Epsilon","2026-01-12"
"6","Assumptions/eur-assumptions-103-nl","eur-assumptions-103-nl","*Ter beschikking gesteld (TBS)*
Er is in Nederland momenteel veel discussie over het nut van langdurige opsluiting van TBS’ers. Een behandelaar van TBS kliniek de Kijvelanden heeft op 4 meetmomenten informatie verzameld over het agressieve gedrag van patiënten. De patiënten werden tijdens groepsbehandelingen geobserveerd en beoordeeld op agressief gedrag 1) 2 dagen na hun opname in de kliniek [T1_aggression]; 2) een half jaar na hun opname [T2_aggression]; 3) een jaar na hun opname [T3_aggression]; en 4) anderhalf jaar na hun opname [T4_aggression]. Het agressieve gedrag werd gescoord middels een semi-gestructureerd interview waarbij de scores kunnen variëren van 0 (niet agressief) tot 40 (uiterst agressief). Verder registreert de behandelaar of de patiënten last hebben van psychoses of niet [psychosis], waarbij 0 = geen psychose en 1 = psychose.
Open het databestand.
Toets of het gemiddelde niveau van agressief gedrag verschilt tussen de vier tijdstippen. Wat is de waarde van Greenhouse-Geisser Epsilon voor bovenstaand model? (3 decimalen)
**Download**: [SPSS file](eur-assumptions-103-nl-data.sav), [CSV file](eur-assumptions-103-nl-data.csv)
","num","Assumptions/Sphericity/Epsilon","Performing analysis","SPSS","Dutch","Statistical Literacy","8069c","Assumptions/Epsilon","2026-01-12"
"7","Assumptions/eur-assumptions-104-en","eur-assumptions-104-en","* Testing effect*
Research has shown that when people have to learn faces of strangers they can remember them better in the long run when they study the faces first and then test themselves with matching the faces to the corresponding name, than when they study the faces twice. A researcher at the Institute of Psychology wants to know whether this so-called testing effect reveals itself in the classroom. She divides a group of 60 VWO students into three groups [condition]. The students in group 1 study a list of 30 faces and their names twice in a row (1 = restudy), the students in group 2 study the same faces and their names once and then test themselves (2 = testing). This involves them putting their hand on the list of people's names and figuring out for themselves the name of the person in the picture. Students in grade 3 study the faces and names only 1 time (3 = study_once). One week after studying, all students are given a test where they are shown the 30 faces and have to give the corresponding name. The total number of correctly identified people is shown in the variable score [score]. The researcher further collected a social skill score [social] for each student.
Open the data file.
Do an analysis to determine if there is a difference between the three conditions [condition] on the number of correctly identified people [score]. Test whether the assumption of homogeneous variance in the three conditions is violated. What is the F value associated with this assumption test? (3 decimal places)
* Download**: [SPSS file](eur-assumptions-104-en-data.sav), [CSV file](eur-assumptions-104-en-data.csv)
","num","Assumptions/Homogeneity of variance/Levene's test","Performing analysis","SPSS","English","Statistical Literacy","3b6d7","Assumptions/Levene's test","2026-01-27"
"8","Assumptions/eur-assumptions-104-nl","eur-assumptions-104-nl","*Testing effect* 
Uit onderzoek is gebleken dat wanneer mensen gezichten van vreemden moeten leren zij deze op de lange termijn beter kunnen onthouden wanneer zij de gezichten eerst bestuderen en daarna zichzelf testen met het koppelen van de gezichten aan de bijbehorende naam, dan wanneer zij de gezichten twee keer bestuderen. Een onderzoeker aan het instituut voor psychologie wil weten of dit zogenaamde testing effect zich ook in het klaslokaal openbaart. Ze deelt een groep van 60 VWO leerlingen in in drie groepen [condition]. De leerlingen in groep 1 bestuderen 2 keer achter elkaar een lijst met 30 gezichten en de bijbehorende namen (1 = restudy), de leerlingen in groep 2 bestuderen dezelfde gezichten en bijbehorende namen 1 keer en testen zichzelf daarna (2 = testing). Hierbij moeten ze hun hand op de lijst met namen van mensen leggen en zelf bedenken hoe de persoon op de foto heet. Leerlingen in groep 3 bestuderen de gezichten en namen slechts 1 keer (3 = study_once). Een week na het bestuderen krijgen alle leerlingen een test waarbij zij de 30 gezichten te zien krijgen en de bijbehorende naam moeten geven. Het totaal aantal correct geïdentificeerde mensen staat weergegeven in de variabele score [score]. De onderzoeker heeft verder nog voor iedere leerling een sociale vaardigheidsscore [sociaal] verzameld.
Open het databestand.
Doe een analyse om te bepalen of er verschil is tussen de drie condities [condition] op het aantal correct geïdentificeerde mensen [score]. Toets of de assumptie van homogene varianties in de drie condities geschonden wordt. Hoe groot is de F-waarde die bij deze assumptietoets hoort? (3 decimalen)
**Download**: [SPSS file](eur-assumptions-104-nl-data.sav), [CSV file](eur-assumptions-104-nl-data.csv)
","num","Assumptions/Homogeneity of variance/Levene's test","Performing analysis","SPSS","Dutch","Statistical Literacy","f4cba","Assumptions/Levene's test","2026-01-12"
"9","Assumptions/eur-assumptions-105-en","eur-assumptions-105-en","* Testing effect*
Research has shown that when people have to learn faces of strangers they can remember them better in the long run when they study the faces first and then test themselves with matching the faces to the corresponding name, than when they study the faces twice. A researcher at the Institute of Psychology wants to know if this so-called testing effect reveals itself in the classroom. She divides a group of 60 4VWO students into three groups [condition]. The students in group 1 study a list of 30 faces and their names twice in a row (1 = restudy), the students in group 2 study the same faces and their names once and then test themselves (2 = testing). This involves them putting their hand on the list of people's names and figuring out for themselves the name of the person in the picture. Students in grade 3 study the faces and names only 1 time (3 = study_once). One week after studying, all students are given a test where they are shown the 30 faces and have to give the corresponding name. The total number of correctly identified people is shown in the variable score [score]. The researcher further collected a social skill score [social] for each student.
Open the data file.
Perform an analysis to determine whether the regression lines representing the relationship between social skill score [social] and performance on the test [score] differ for the three conditions [condition]. What is the p-value associated with the F test that tests the homogeneity of regression assumption? (3 decimal places)
* Download**: [SPSS file](eur-assumptions-105-en-data.sav), [CSV file](eur-assumptions-105-en-data.csv)
","num","Assumptions/Homogeneity of variance/Levene's test, Inferential Statistics/NHST/p-value","Performing analysis","SPSS","English","Statistical Literacy","6489f","Assumptions/Levene's test","2026-01-27"
"10","Assumptions/eur-assumptions-105-nl","eur-assumptions-105-nl","*Testing effect* 
Uit onderzoek is gebleken dat wanneer mensen gezichten van vreemden moeten leren zij deze op de lange termijn beter kunnen onthouden wanneer zij de gezichten eerst bestuderen en daarna zichzelf testen met het koppelen van de gezichten aan de bijbehorende naam, dan wanneer zij de gezichten twee keer bestuderen. Een onderzoeker aan het instituut voor psychologie wil weten of dit zogenaamde testing effect zich ook in het klaslokaal openbaart. Ze deelt een groep van 60 4VWO leerlingen in in drie groepen [condition]. De leerlingen in groep 1 bestuderen 2 keer achter elkaar een lijst met 30 gezichten en de bijbehorende namen (1 = restudy), de leerlingen in groep 2 bestuderen dezelfde gezichten en bijbehorende namen 1 keer en testen zichzelf daarna (2 = testing). Hierbij moeten ze hun hand op de lijst met namen van mensen leggen en zelf bedenken hoe de persoon op de foto heet. Leerlingen in groep 3 bestuderen de gezichten en namen slechts 1 keer (3 = study_once). Een week na het bestuderen krijgen alle leerlingen een test waarbij zij de 30 gezichten te zien krijgen en de bijbehorende naam moeten geven. Het totaal aantal correct geïdentificeerde mensen staat weergegeven in de variabele score [score]. De onderzoeker heeft verder nog voor iedere leerling een sociale vaardigheids-score [sociaal] verzameld.
Open het databestand.
Voer een analyse uit om te bepalen of de regressielijnen die de relatie tussen sociale vaardigheids-score [sociaal] en prestatie op de test [score] weergeven verschillen voor de drie condities [condition]. Wat is de p-waarde behorend bij de F-toets die de homogeniteit van regressie assumptie toetst? (3 decimalen)
**Download**: [SPSS file](eur-assumptions-105-nl-data.sav), [CSV file](eur-assumptions-105-nl-data.csv)
","num","Assumptions/Homogeneity of variance/Levene's test, Inferential Statistics/NHST/p-value","Performing analysis","SPSS","Dutch","Statistical Literacy","4740b","Assumptions/Levene's test","2026-01-12"
