[R ERROR LOG: Wed Nov 27 12:02:46 2024]
[uu-Factor-loadings-001-nl, html]  The following files cannot be found: Factor-analysis/uu-Factor-loadings-001-nl/uu-Factor-loadings-001-nl.Rmd.
[uu-Multiple-linear-regression-803-nl, html]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-803-nl/uu-Multiple-linear-regression-803-nl.Rmd.
[vufsw-multiplelinearregression-0275-nl, html]  length of exsolution (= 26) and questionlist (= 4) does not match in 'Inferential_Statistics_vufsw-multiplelinearregression-0275-nl_vufsw-multiplelinearregression-0275-nl'
[vufgb-oddsratio-009-nl, html]  length of exsolution (= 164) and questionlist (= 4) does not match in 'Inferential_Statistics_vufgb-oddsratio-009-nl_vufgb-oddsratio-009-nl'
[uu-Multiple-linear-regression-804-nl, html]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-804-nl/uu-Multiple-linear-regression-804-nl.Rmd.
[vufsw-mediation-0268-nl, html]  length of exsolution (= 25) and questionlist (= 4) does not match in 'Inferential_Statistics_vufsw-mediation-0268-nl_vufsw-mediation-0268-nl'
[vufgb-sumofsquares-015-nl, html]  length of exsolution (= 218) and questionlist (= 4) does not match in 'Inferential_Statistics_vufgb-sumofsquares-015-nl_vufgb-sumofsquares-015-nl'
[uu-Summary-Statistics-800-nl, html]  no exsolution specified
[uu-Standard-Deviation-801-nl, html]  no exsolution specified
[uu-Standard-Deviation-803-nl, html]  no exsolution specified
[uu-Standard-Deviation-800-nl, html]  no exsolution specified
[uu-Standard-Deviation-805-nl, html]  no exsolution specified
[uu-Histogram-802-nl, html]  The following files cannot be found: Descriptive-statistics/uu-Histogram-802-nl/uu-Histogram-802-nl.Rmd.
[vufgb-bivariatestatistics-002-nl, html]  length of exsolution (= 4) and questionlist (= 3) does not match in 'Descriptive-statistics_vufgb-bivariatestatistics-002-nl_vufgb-bivariatestatistics-002-nl'
[vufgb-measuresoflocation-001-nl, html]  length of exsolution (= 2) and questionlist (= 4) does not match in 'Descriptive-statistics_vufgb-measuresoflocation-001-nl_vufgb-measuresoflocation-001-nl'
[uu-Measures-of-Spread-800-nl, html]  no exsolution specified
[vufgb-boxplot-002-nl, html]  no exsolution specified
[uu-Factor-loadings-001-nl-qti, qti]  The following files cannot be found: Factor-analysis/uu-Factor-loadings-001-nl/uu-Factor-loadings-001-nl.Rmd.
[uu-Multiple-linear-regression-803-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-803-nl/uu-Multiple-linear-regression-803-nl.Rmd.
[vufsw-multiplelinearregression-0275-nl-qti, qti]  single choice items must have exactly one correct solution
[vufgb-oddsratio-009-nl-qti, qti]  single choice items must have exactly one correct solution
[uu-Multiple-linear-regression-804-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-804-nl/uu-Multiple-linear-regression-804-nl.Rmd.
[vufsw-mediation-0268-nl-qti, qti]  single choice items must have exactly one correct solution
[vufgb-sumofsquares-015-nl-qti, qti]  length of exsolution (= 218) and questionlist (= 4) does not match in 'Inferential_Statistics_vufgb-sumofsquares-015-nl_vufgb-sumofsquares-015-nl'
[uu-Summary-Statistics-800-nl-qti, qti]  no exsolution specified
[uu-Standard-Deviation-801-nl-qti, qti]  no exsolution specified
[uu-Standard-Deviation-803-nl-qti, qti]  no exsolution specified
[uu-Standard-Deviation-800-nl-qti, qti]  no exsolution specified
[uu-Standard-Deviation-805-nl-qti, qti]  no exsolution specified
[uu-Histogram-802-nl-qti, qti]  The following files cannot be found: Descriptive-statistics/uu-Histogram-802-nl/uu-Histogram-802-nl.Rmd.
[vufgb-bivariatestatistics-002-nl-qti, qti]  length of exsolution (= 4) and questionlist (= 3) does not match in 'Descriptive-statistics_vufgb-bivariatestatistics-002-nl_vufgb-bivariatestatistics-002-nl'
[vufgb-measuresoflocation-001-nl-qti, qti]  length of exsolution (= 2) and questionlist (= 4) does not match in 'Descriptive-statistics_vufgb-measuresoflocation-001-nl_vufgb-measuresoflocation-001-nl'
[uu-Measures-of-Spread-800-nl-qti, qti]  no exsolution specified
[vufgb-boxplot-002-nl-qti, qti]  no exsolution specified
[uu-Factor-loadings-001-nl-tv, tv]  The following files cannot be found: Factor-analysis/uu-Factor-loadings-001-nl/uu-Factor-loadings-001-nl.Rmd.
[uu-Multiple-linear-regression-803-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-803-nl/uu-Multiple-linear-regression-803-nl.Rmd.
[vufsw-multiplelinearregression-0275-nl-tv, tv]  single choice items must have exactly one correct solution
[vufgb-oddsratio-009-nl-tv, tv]  single choice items must have exactly one correct solution
[uu-Multiple-linear-regression-804-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-804-nl/uu-Multiple-linear-regression-804-nl.Rmd.
[vufsw-mediation-0268-nl-tv, tv]  single choice items must have exactly one correct solution
