[R WARNING LOG: Tue Jan 14 19:40:42 2025]
[vufsw-cross_tables-1235-en, html]  duplicated items in question list in 'Inferential_Statistics_vufsw-cross_tables-1235-en_vufsw-cross_tables-1235-en'
[uu-Cronbach's-alpha-013-nl, html]  length of exsolution (= 4) and solutionlist (= 1) does not match in 'Reliability_uu-Cronbach's-alpha-013-nl_uu-Cronbach's-alpha-013-nl'
[uu-Cronbach's-alpha-012-nl, html]  length of exsolution (= 4) and solutionlist (= 1) does not match in 'Reliability_uu-Cronbach's-alpha-012-nl_uu-Cronbach's-alpha-012-nl'
[uu-Cronbach's-alpha-016-nl, html]  length of exsolution (= 4) and solutionlist (= 1) does not match in 'Reliability_uu-Cronbach's-alpha-016-nl_uu-Cronbach's-alpha-016-nl'
[vufsw-cross_tables-1235-en-qti, qti]  duplicated items in question list in 'Inferential_Statistics_vufsw-cross_tables-1235-en_vufsw-cross_tables-1235-en'
[uu-Cronbach's-alpha-013-nl-qti, qti]  length of exsolution (= 4) and solutionlist (= 1) does not match in 'Reliability_uu-Cronbach's-alpha-013-nl_uu-Cronbach's-alpha-013-nl'
[uu-Cronbach's-alpha-012-nl-qti, qti]  length of exsolution (= 4) and solutionlist (= 1) does not match in 'Reliability_uu-Cronbach's-alpha-012-nl_uu-Cronbach's-alpha-012-nl'
[uu-Cronbach's-alpha-016-nl-qti, qti]  length of exsolution (= 4) and solutionlist (= 1) does not match in 'Reliability_uu-Cronbach's-alpha-016-nl_uu-Cronbach's-alpha-016-nl'
[vufsw-cross_tables-1235-en-tv, tv]  duplicated items in question list in 'Inferential_Statistics_vufsw-cross_tables-1235-en_vufsw-cross_tables-1235-en'
[uu-Cronbach's-alpha-013-nl-tv, tv]  length of exsolution (= 4) and solutionlist (= 1) does not match in 'Reliability_uu-Cronbach's-alpha-013-nl_uu-Cronbach's-alpha-013-nl'
[uu-Cronbach's-alpha-012-nl-tv, tv]  length of exsolution (= 4) and solutionlist (= 1) does not match in 'Reliability_uu-Cronbach's-alpha-012-nl_uu-Cronbach's-alpha-012-nl'
[uu-Cronbach's-alpha-016-nl-tv, tv]  length of exsolution (= 4) and solutionlist (= 1) does not match in 'Reliability_uu-Cronbach's-alpha-016-nl_uu-Cronbach's-alpha-016-nl'
