[R WARNING LOG: Wed May 28 18:16:50 2025]
[uu-Boxplot-002-nl-canvas, canvas]  The following supplement files could not be found: uu-Boxplot-002-nl-graph.jpg.
[uu-Boxplot-001-nl-canvas, canvas]  The following supplement files could not be found: uu-Boxplot-001-nl-tabel.jpg.
[uu-Scatterplot-001-en-canvas, canvas]  The following supplement files could not be found: uu-Scatterplot-001-en-graph.jpg.
[uu-Histogram-001-nl-canvas, canvas]  The following supplement files could not be found: uu-Histogram-001-nl-tabel.jpg.
[vufgb-interquartilerange-005-en-canvas, canvas]  The following supplement files could not be found: vufgb-interquartilerange-005-en-graph01.jpg.
[uu-Percentile-800-nl-canvas, canvas]  The following supplement files could not be found: uu-percentile-800-nl-tabel.jpg.
[eur-reliability-119-en-canvas, canvas]  The following supplement files could not be found: eur-reliability-119-en-img119.png.
[uu-Cronbach's-alpha-001-nl-canvas, canvas]  The following files are found more than once, first match used: uu-Cronbachs-alpha-001-nl-tabel.jpg
[uu-Cronbach's-alpha-004-nl-canvas, canvas]  The following files are found more than once, first match used: uu-Cronbachs-alpha-004-nl-tabel.jpg
[uu-Mauchly's-test-015-nl-canvas, canvas]  The following files are found more than once, first match used: uu-Mauchlys-test-015-nl-tabel.jpg
[uu-Levene's-test-201-nl-canvas, canvas]  The following files are found more than once, first match used: uu-Levenes-test-201-nl-tabel.jpg
[uu-Levene's-test-024-nl-canvas, canvas]  The following files are found more than once, first match used: uu-Levenes-test-024-nl-tabel.jpg
[uu-levene's-test-001-nl-canvas, canvas]  The following files are found more than once, first match used: uu-Levenes-test-001-nl-tabel.jpg
[vufsw-oneway_anova-1318-nl-canvas, canvas]  duplicated items in question list in 'Inferential_Statistics_vufsw-oneway_anova-1318-nl_vufsw-oneway_anova-1318-nl'
[eur-inferential_statistics-242-en-canvas, canvas]  The following files are found more than once, first match used: eur-inferential_statistics-242-en-data.sav
[eur-inferential_statistics-247-en-canvas, canvas]  The following files are found more than once, first match used: eur-inferential_statistics-247-en-data.sav
[vufsw-oneway_anova-1370-nl-canvas, canvas]  duplicated items in question list in 'Inferential_Statistics_vufsw-oneway_anova-1370-nl_vufsw-oneway_anova-1370-nl'
[uu-Multiple-linear-regression-819-en-canvas, canvas]  The following supplement files could not be found: uu-Multiple-linear-regression-819-en-tabel.jpg.
[eur-inferential_statistics-253-nl-canvas, canvas]  The following files are found more than once, first match used: eur-inferential_statistics-253-nl-data.sav
[eur-inferential_statistics-246-en-canvas, canvas]  The following files are found more than once, first match used: eur-inferential_statistics-246-en-data.sav
[vufgb-mixeddesignanova-005-nl-canvas, canvas]  The following supplement files could not be found: vufgb-mixeddesignanova-005-nl.
[uu-Independent-samples-means-807-nl-canvas, canvas]  The following supplement files could not be found: uu-ANOVA-800-nl-tabel.jpg.
[vufgb-mixeddesignanova-001-nl-canvas, canvas]  The following supplement files could not be found: vufgb-mixeddesignanova-001-nl.
[vufgb-mixeddesignanova-003-nl-canvas, canvas]  The following supplement files could not be found: vufgb-mixeddesignanova-003-nl.
[eur-inferential_statistics-241-en-canvas, canvas]  The following files are found more than once, first match used: eur-inferential_statistics-241-en-data.sav
[eur-inferential_statistics-245-en-canvas, canvas]  The following files are found more than once, first match used: eur-inferential_statistics-245-en-data.sav
[vufgb-statisticalerrors-001-nl-canvas, canvas]  The following supplement files could not be found: vufgb-statisticalerrors-001-en.png.
[eur-inferential_statistics-240-en-canvas, canvas]  The following files are found more than once, first match used: eur-inferential_statistics-240-en-data.sav
[uu-Equation-805-nl-canvas, canvas]  The following supplement files could not be found: uu-Equation-805-nl-tabel.jpg.
[eur-inferential_statistics-261-nl-canvas, canvas]  The following files are found more than once, first match used: eur-inferential_statistics-261-nl-data.sav
[uu-Hypothesis-803-en-canvas, canvas]  The following supplement files could not be found: uu-hypothesis-803-en-tabel.jpg.
[eur-inferential_statistics-243-en-canvas, canvas]  The following files are found more than once, first match used: eur-inferential_statistics-243-en-data.sav
[eur-inferential_statistics-244-en-canvas, canvas]  The following files are found more than once, first match used: eur-inferential_statistics-244-en-data.sav
